site_name,site_type,state,latitude,longitude,year_of_inscription,description
Taj Mahal,Monument,Uttar Pradesh,27.1751,78.0421,1983,Iconic white marble mausoleum
Red Fort,Fort,Delhi,28.6562,77.241,2007,Historic red sandstone fort complex
Qutub Minar,Monument,Delhi,28.5245,77.1855,1993,Tallest brick minaret in the world
Ajanta Caves,Cave,Maharashtra,20.5519,75.7003,1983,Buddhist cave paintings
Ellora Caves,Cave,Maharashtra,20.0258,75.1772,1983,Rock-cut cave temples
Sun Temple,Temple,Odisha,19.8876,85.8513,1984,Ancient sun temple with intricate carvings
Khajuraho Temples,Temple,Madhya Pradesh,24.8318,79.9199,1986,Medieval temples with erotic sculptures
Mahabalipuram,Temple,Tamil Nadu,12.6269,80.1928,1984,Shore Temple complex
Hampi,Archaeological Site,Karnataka,15.335,76.46,1986,Ruins of Vijayanagara Empire
Fatehpur Sikri,Historical City,Uttar Pradesh,27.094,77.671,1986,Mughal imperial city
